iter	Passed	Remaining
0	148	148301
1	153	76672
2	158	52543
3	162	40373
4	167	33375
5	170	28258
6	172	24461
7	174	21584
8	175	19354
9	177	17564
10	179	16118
11	183	15098
12	185	14049
13	186	13146
14	188	12360
15	189	11671
16	191	11061
17	192	10515
18	194	10025
19	196	9648
20	198	9258
21	200	8892
22	201	8557
23	202	8251
24	204	7968
25	205	7707
26	207	7463
27	208	7237
28	211	7075
29	212	6878
30	214	6694
31	215	6520
32	216	6357
33	218	6203
34	219	6058
35	221	5920
36	222	5790
37	225	5709
38	226	5592
39	228	5479
40	229	5372
41	231	5271
42	232	5174
43	233	5082
44	235	4993
45	236	4907
46	240	4867
47	241	4790
48	242	4715
49	244	4643
50	245	4572
51	247	4505
52	248	4439
53	249	4377
54	251	4318
55	254	4284
56	255	4230
57	257	4179
58	258	4129
59	260	4080
60	262	4034
61	263	3989
62	265	3943
63	266	3897
64	268	3867
65	270	3826
66	271	3784
67	273	3744
68	274	3704
69	275	3665
70	277	3633
71	279	3602
72	281	3570
73	283	3552
74	286	3529
75	287	3498
76	289	3466
77	291	3451
78	294	3428
79	295	3400
80	297	3374
81	300	3368
82	301	3336
83	303	3311
84	305	3287
85	307	3262
86	309	3251
87	311	3228
88	313	3206
89	314	3183
90	316	3160
91	317	3137
92	319	3114
93	320	3093
94	322	3071
95	325	3063
96	326	3043
97	328	3023
98	329	3003
99	331	2983
100	333	2964
101	334	2945
102	336	2926
103	338	2914
104	340	2903
105	342	2885
106	343	2868
107	345	2851
108	346	2835
109	348	2818
110	349	2801
111	351	2785
112	353	2772
113	355	2763
114	357	2749
115	359	2737
116	360	2721
117	362	2707
118	363	2693
119	365	2680
120	368	2677
121	369	2662
122	371	2649
123	373	2636
124	374	2623
125	376	2610
126	377	2595
127	379	2583
128	380	2571
129	384	2571
130	385	2560
131	387	2548
132	389	2536
133	390	2524
134	392	2512
135	393	2501
136	395	2491
137	398	2490
138	400	2479
139	401	2468
140	403	2459
141	404	2445
142	406	2434
143	408	2426
144	415	2447
145	417	2440
146	418	2430
147	420	2419
148	422	2411
149	424	2405
150	429	2416
151	431	2407
152	433	2398
153	434	2389
154	436	2380
155	438	2371
156	440	2363
157	443	2365
158	445	2356
159	447	2348
160	448	2336
161	449	2327
162	451	2317
163	452	2308
164	454	2298
165	458	2301
166	459	2292
167	461	2284
168	462	2275
169	464	2267
170	466	2259
171	468	2253
172	469	2245
173	474	2252
174	476	2245
175	478	2238
176	479	2230
177	481	2221
178	484	2221
179	492	2241
180	493	2233
181	495	2226
182	496	2218
183	498	2210
184	500	2204
185	505	2213
186	507	2205
187	508	2198
188	510	2190
189	511	2182
190	513	2174
191	515	2168
192	520	2176
193	522	2169
194	523	2161
195	525	2154
196	526	2147
197	528	2140
198	530	2133
199	533	2134
200	536	2132
201	537	2125
202	539	2118
203	540	2110
204	542	2103
205	544	2098
206	545	2091
207	551	2098
208	552	2092
209	554	2085
210	555	2078
211	557	2073
212	559	2067
213	560	2060
214	565	2064
215	566	2057
216	568	2050
217	569	2043
218	570	2036
219	572	2030
220	574	2024
221	575	2017
222	579	2017
223	580	2011
224	582	2005
225	583	1999
226	585	1993
227	586	1986
228	588	1981
229	590	1975
230	593	1975
231	595	1969
232	596	1963
233	597	1956
234	601	1956
235	602	1950
236	603	1944
237	605	1937
238	608	1937
239	610	1932
240	611	1926
241	613	1920
242	614	1914
243	616	1908
244	617	1902
245	618	1896
246	620	1890
247	621	1885
248	624	1882
249	625	1877
250	627	1873
251	629	1869
252	631	1863
253	633	1860
254	634	1854
255	638	1855
256	640	1850
257	641	1845
258	643	1839
259	644	1834
260	645	1829
261	647	1824
262	649	1818
263	650	1813
264	653	1812
265	654	1807
266	656	1801
267	657	1796
268	659	1790
269	660	1785
270	661	1780
271	663	1775
272	664	1770
273	666	1764
274	670	1766
275	671	1761
276	672	1756
277	674	1751
278	675	1746
279	677	1741
280	678	1736
281	680	1731
282	683	1731
283	684	1726
284	686	1721
285	687	1716
286	689	1712
287	690	1707
288	692	1702
289	693	1697
290	694	1693
291	697	1691
292	699	1687
293	700	1682
294	702	1678
295	703	1674
296	705	1670
297	707	1665
298	708	1661
299	710	1656
300	713	1656
301	715	1652
302	716	1648
303	718	1644
304	719	1640
305	721	1636
306	723	1632
307	724	1628
308	726	1624
309	728	1621
310	729	1616
311	731	1612
312	732	1607
313	734	1603
314	735	1599
315	737	1595
316	738	1591
317	739	1587
318	742	1585
319	744	1581
320	745	1577
321	746	1572
322	748	1568
323	750	1564
324	751	1560
325	752	1556
326	754	1552
327	757	1551
328	758	1547
329	760	1543
330	761	1539
331	762	1535
332	764	1530
333	765	1526
334	767	1522
335	768	1518
336	770	1516
337	772	1512
338	773	1508
339	775	1504
340	776	1500
341	778	1497
342	779	1493
343	780	1489
344	782	1485
345	784	1481
346	786	1480
347	788	1476
348	789	1472
349	790	1468
350	792	1465
351	794	1463
352	796	1459
353	797	1456
354	801	1456
355	803	1453
356	805	1450
357	807	1448
358	809	1445
359	811	1443
360	816	1445
361	818	1443
362	821	1441
363	823	1439
364	825	1436
365	827	1432
366	830	1431
367	832	1428
368	833	1425
369	834	1421
370	836	1417
371	837	1414
372	839	1410
373	840	1407
374	842	1403
375	843	1400
376	845	1396
377	846	1393
378	848	1389
379	849	1385
380	850	1382
381	852	1378
382	853	1375
383	855	1371
384	856	1368
385	859	1366
386	860	1363
387	862	1360
388	864	1357
389	866	1354
390	876	1365
391	879	1363
392	881	1360
393	883	1358
394	885	1355
395	891	1359
396	893	1356
397	895	1354
398	897	1352
399	899	1349
400	901	1347
401	907	1349
402	909	1346
403	914	1349
404	916	1346
405	918	1344
406	921	1342
407	923	1339
408	927	1340
409	929	1337
410	931	1335
411	933	1332
412	935	1330
413	938	1327
414	943	1329
415	945	1327
416	949	1327
417	951	1325
418	953	1322
419	957	1322
420	959	1320
421	962	1317
422	964	1315
423	966	1312
424	968	1310
425	970	1307
426	975	1309
427	977	1306
428	980	1304
429	982	1301
430	989	1306
431	991	1304
432	993	1301
433	996	1298
434	998	1296
435	1003	1297
436	1005	1295
437	1007	1292
438	1008	1289
439	1010	1286
440	1012	1283
441	1017	1284
442	1020	1283
443	1052	1318
444	1055	1315
445	1057	1313
446	1072	1327
447	1075	1325
448	1078	1323
449	1086	1328
450	1089	1325
451	1091	1323
452	1093	1320
453	1099	1322
454	1102	1320
